time_s,CoM_cm,eta_boundary_cm
0.000000e+00,-2.639645e-02,4.102332e-20
4.166667e-04,-2.637484e-02,2.950293e-10
8.333333e-04,-2.636870e-02,7.253952e-10
1.250000e-03,-2.638157e-02,1.275241e-09
1.666667e-03,-2.641334e-02,1.940414e-09
2.083333e-03,-2.646266e-02,2.719380e-09
2.500000e-03,-2.652766e-02,3.611000e-09
2.916667e-03,-2.660617e-02,4.613806e-09
3.333333e-03,-2.669591e-02,5.725761e-09
3.750000e-03,-2.679453e-02,6.944232e-09
4.166667e-03,-2.689968e-02,8.266046e-09
4.583333e-03,-2.700906e-02,9.687570e-09
5.000000e-03,-2.712045e-02,1.120476e-08
5.416667e-03,-2.723171e-02,1.281315e-08
5.833333e-03,-2.734086e-02,1.450782e-08
6.250000e-03,-2.744602e-02,1.628331e-08
6.666667e-03,-2.754550e-02,1.813352e-08
7.083333e-03,-2.763778e-02,2.005167e-08
7.500000e-03,-2.772149e-02,2.203028e-08
7.916667e-03,-2.779550e-02,2.406117e-08
8.333333e-03,-2.785885e-02,2.613557e-08
8.750000e-03,-2.791079e-02,2.824422e-08
9.166667e-03,-2.795077e-02,3.037747e-08
9.583333e-03,-2.797847e-02,3.252553e-08
1.000000e-02,-2.799376e-02,3.467855e-08
1.041667e-02,-2.799669e-02,3.682682e-08
1.083333e-02,-2.798755e-02,3.896095e-08
1.125000e-02,-2.796678e-02,4.107200e-08
1.166667e-02,-2.793502e-02,4.315163e-08
1.208333e-02,-2.789306e-02,4.519223e-08
1.250000e-02,-2.784186e-02,4.718702e-08
1.291667e-02,-2.778251e-02,4.913015e-08
1.333333e-02,-2.771621e-02,5.101680e-08
1.375000e-02,-2.764430e-02,5.284324e-08
1.416667e-02,-2.756817e-02,5.460688e-08
1.458333e-02,-2.748931e-02,5.630630e-08
1.500000e-02,-2.740924e-02,5.794129e-08
1.541667e-02,-2.732952e-02,5.951285e-08
1.583333e-02,-2.725172e-02,6.102318e-08
1.625000e-02,-2.717740e-02,6.247567e-08
1.666667e-02,-2.710809e-02,6.387484e-08
1.708333e-02,-2.704527e-02,6.522633e-08
1.750000e-02,-2.699036e-02,6.653679e-08
1.791667e-02,-2.694470e-02,6.781385e-08
1.833333e-02,-2.690952e-02,6.906601e-08
1.875000e-02,-2.688595e-02,7.030253e-08
1.916667e-02,-2.687496e-02,7.153337e-08
1.958333e-02,-2.687741e-02,7.276903e-08
2.000000e-02,-2.689401e-02,7.402045e-08
2.041667e-02,-2.692528e-02,7.529889e-08
2.083333e-02,-2.697160e-02,7.661579e-08
2.125000e-02,-2.703316e-02,7.798265e-08
2.166667e-02,-2.710998e-02,7.941087e-08
2.208333e-02,-2.720191e-02,8.091165e-08
2.250000e-02,-2.730862e-02,8.249584e-08
2.291667e-02,-2.742960e-02,8.417382e-08
2.333333e-02,-2.756419e-02,8.595539e-08
2.375000e-02,-2.771153e-02,8.784963e-08
2.416667e-02,-2.787066e-02,8.986481e-08
2.458333e-02,-2.804043e-02,9.200828e-08
2.500000e-02,-2.821960e-02,9.428638e-08
2.541667e-02,-2.840678e-02,9.670439e-08
2.583333e-02,-2.860049e-02,9.926643e-08
2.625000e-02,-2.879918e-02,1.019754e-07
2.666667e-02,-2.900120e-02,1.048330e-07
2.708333e-02,-2.920489e-02,1.078397e-07
